X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.824749515,0.003702827,-2.49895E-05,2.818195263,5.003698531,2.831303766,-4.996292877
-2.301210795,-0.000737461,-1.46652E-05,-2.29687962,-5.000735585,-2.30554197,4.999260663
-1.777664126,-0.000569682,-1.46652E-05,-1.779266459,4.999430061,-1.776061793,-5.000569425
-1.254143319,-0.000401911,-1.46652E-05,-1.255745652,4.999597832,-1.252540986,-5.000401654
-0.73066349,-0.000234153,-1.46652E-05,-0.732265823,4.99976559,-0.729061158,-5.000233896
-0.207223377,-6.64082E-05,-1.46652E-05,-0.208825709,4.999933335,-0.205621044,-5.000066151
-0.316185866,-0.000101084,-1.85477E-05,-0.314594668,-5.000100831,-0.317777064,4.999898662
-0.839575634,-0.000263419,-4.92502E-05,-0.838024832,-5.000263179,-0.841126436,4.99973634
-1.362979195,-0.000412244,-7.99536E-05,-1.361557488,-5.000412042,-1.364400903,4.999587553
-1.886453897,-0.000539209,-0.000110661,-1.885241186,-5.000539062,-1.887666608,4.999460644
-2.410048633,-0.000635945,-0.000141376,-2.409124864,-5.00063586,-2.410972403,4.999363969
-2.933790767,-0.000694062,-0.000172099,-2.933235946,-5.000694031,-2.934345588,4.999305907
-3.457689058,-0.000705148,-0.000202831,-3.457583257,-5.000705147,-3.457794858,4.999294851
-3.98174056,-0.000660776,-0.000233572,-3.982163912,-5.000660758,-3.981317207,4.999339206
-4.505937823,-0.000552117,-0.000264322,-4.506974255,-5.00055201,-4.504901392,4.999447775
-5.030273898,-0.000369704,-0.000289967,-5.03201337,-5.000369401,-5.028534425,4.999629994
-5.55474454,-0.000108481,-0.000283873,-5.557234882,-5.000107861,-5.552254199,4.999890899
-6.079347622,0.000230724,-0.000275064,-6.082580589,-4.999768231,-6.076114655,5.000229678
-6.60408214,0.000645557,-0.000266252,-6.608034931,-4.999352881,-6.600129348,5.000643995
-7.128947641,0.001133661,-0.000257439,-7.133597441,-4.998864177,-7.124297842,5.001131499
-7.653943825,0.001692675,-0.000248623,-7.659267802,-4.998304491,-7.648619848,5.001689841
-8.179070322,0.002320234,-0.000239806,-8.185045631,-4.997676196,-8.173095013,5.002316664
-8.704326646,0.00301397,-0.000230986,-8.710930427,-4.996981669,-8.697722866,5.003009609
-9.229712248,0.003771512,-0.000222164,-9.236921625,-4.996223291,-9.222502871,5.003766314
-9.755226363,0.004590762,-0.000213358,-9.763021102,-4.995403163,-9.747431625,5.004584686
-10.28086895,0.005470189,-0.000210253,-10.2892342,-4.994522814,-10.27250371,5.005463191
-10.80663941,0.006407865,-0.000212053,-10.81555657,-4.993584183,-10.79772225,5.006399914
-11.3325372,0.007404276,-0.000213853,-11.3420106,-4.992586749,-11.32306379,5.007395301
-11.85856166,0.008459954,-0.000215653,-11.86859614,-4.991529977,-11.84852719,5.008449885
-12.38471237,0.009575434,-0.000217454,-12.39531273,-4.99041333,-12.37411201,5.009564197
-12.91098921,0.010751251,-0.000219255,-12.92216028,-4.98923627,-12.89981815,5.010738772
-13.43739232,0.011987943,-0.000221057,-13.44913891,-4.987998259,-13.42564573,5.011974145
-13.963922,0.013286048,-0.000222859,-13.97624895,-4.986698757,-13.95159505,5.013270852
-14.49057865,0.014646104,-0.000224661,-14.50349078,-4.985337224,-14.47766652,5.014629432
-15.01736187,0.016069633,-0.000226144,-15.03087334,-4.983912111,-15.0038504,5.016051377
-15.54427369,0.017556591,-0.000225275,-15.55838377,-4.982423499,-15.53016362,5.017536682
-16.07131351,0.019106313,-0.000224205,-16.08601558,-4.980872072,-16.05661144,5.019084698
-16.59848115,0.020718545,-0.000223135,-16.61377254,-4.979258072,-16.58318976,5.020695163
-17.12577667,0.022393037,-0.000222065,-17.1416547,-4.977581752,-17.10989864,5.022367826
-17.65320053,0.024129536,-0.000220995,-17.66966252,-4.975843364,-17.63673853,5.024102436
-18.1807535,0.025927793,-0.000219924,-18.19779678,-4.974043159,-18.16371021,5.025898746
-18.7084365,0.027787559,-0.000218853,-18.72605839,-4.972181388,-18.69081462,5.027756506
-19.23625052,0.029708584,-0.000217782,-19.25444833,-4.9702583,-19.21805271,5.029675468
-19.76419505,0.031691384,-0.000216715,-19.78297341,-4.968273353,-19.7454167,5.031656121
-20.29227382,0.033735698,-0.000216085,-20.31162982,-4.966226837,-20.27291782,5.033698232
-20.82048628,0.035840646,-0.000215803,-20.84041133,-4.964119653,-20.80056124,5.035800945
-21.34883301,0.038006192,-0.00021552,-21.36932645,-4.96195181,-21.32833958,5.037964194
-21.87731433,0.040232303,-0.000215238,-21.89837554,-4.959723339,-21.85625312,5.040187946
-22.40593058,0.042518946,-0.000214955,-22.42755895,-4.957434275,-22.38430221,5.042472168
-22.93468223,0.044866089,-0.000214672,-22.95687714,-4.95508465,-22.91248732,5.044816827
-23.46356983,0.047273698,-0.000214389,-23.48633066,-4.952674496,-23.440809,5.047221892
-23.99259389,0.049741742,-0.000214106,-24.01592003,-4.950203847,-23.96926776,5.049687331
-24.52175266,0.052271345,-0.000213823,-24.54565451,-4.947671524,-24.49785081,5.052214215
-25.0510507,0.054861723,-0.000213506,-25.07552035,-4.9450784,-25.02658106,5.054801847
-25.58048614,0.057512427,-0.000213032,-25.60551912,-4.942424908,-25.55545315,5.057449761
-26.11005892,0.060223371,-0.000212547,-26.13565416,-4.939711117,-26.08446368,5.060157859
-26.63976878,0.062994463,-0.000212061,-26.66592513,-4.936937121,-26.61361244,5.062926047
-27.16961555,0.065825612,-0.000211575,-27.19633185,-4.934103011,-27.14289926,5.065754236
