X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.830776847,-6.87823E-05,-1.14072E-06,2.830898337,4.999931216,2.830655357,-5.000068781
-2.367381468,0.000173739,-6.05162E-07,-2.367614745,-4.999826256,-2.367148192,5.000173734
-1.903983295,0.000139731,-6.05162E-07,-1.903616352,5.000139717,-1.904350239,-4.999860256
-1.440613072,0.000105725,-6.05162E-07,-1.440246129,5.000105711,-1.440980015,-4.999894262
-0.977286608,7.17218E-05,-6.05162E-07,-0.976919665,5.000071708,-0.977653551,-4.999928265
-0.514001552,3.77219E-05,-6.05162E-07,-0.513634608,5.000037708,-0.514368495,-4.999962265
-0.050747085,3.72426E-06,-6.05162E-07,-0.050380142,5.000003711,-0.051114028,-4.999996262
-0.412486586,3.02964E-05,-9.98484E-07,-0.412853869,-4.99996969,-0.412119303,5.000030283
-0.875709121,6.45325E-05,-2.11978E-06,-0.876078664,-4.999935454,-0.875339578,5.000064519
-1.338965393,9.92232E-05,-3.24116E-06,-1.339339815,-4.999900763,-1.338590971,5.000099209
-1.802337088,0.000134611,-4.36282E-06,-1.802718938,-4.999865375,-1.801955238,5.000134596
-2.265887468,0.000170937,-5.48491E-06,-2.266279297,-4.999829047,-2.26549564,5.000170922
-2.72964374,0.000208477,-6.6075E-06,-2.73004847,-4.999791507,-2.729239011,5.00020846
-3.193606523,0.000247476,-7.7306E-06,-3.194026815,-4.999752506,-3.193186231,5.000247459
-3.657763295,0.000288154,-8.85415E-06,-3.65820148,-4.999711827,-3.65732511,5.000288135
-4.12209988,0.000330747,-9.97815E-06,-4.122558526,-4.999669232,-4.121641234,5.000330726
-4.586607011,0.000375496,-1.11026E-05,-4.58708869,-4.999624481,-4.586125333,5.000375472
-5.051281222,0.000422638,-1.1904E-05,-5.051788485,-4.999577336,-5.05077396,5.000422612
-5.516122624,0.00047233,-1.14177E-05,-5.516657132,-4.999527641,-5.515588115,5.000472302
-5.981132096,0.000524551,-1.08141E-05,-5.981693598,-4.999475417,-5.980570593,5.00052452
-6.446309806,0.000579158,-1.02103E-05,-6.446896756,-4.999420807,-6.445722856,5.000579124
-6.911655308,0.00063598,-9.60634E-06,-6.912265842,-4.999363982,-6.911044774,5.000635943
-7.377167873,0.000694891,-9.00211E-06,-7.37780062,-4.999305069,-7.376535125,5.000694851
-7.842846743,0.000755763,-8.39766E-06,-7.843500331,-4.999244194,-7.842193154,5.00075572
-8.308691253,0.000818471,-0.000007793,-8.309364308,-4.999181484,-8.308018198,5.000818426
-8.774700864,0.000882887,-7.18813E-06,-8.775392009,-4.999117065,-8.774009719,5.000882839
-9.240875158,0.000948899,-6.58304E-06,-9.241583175,-4.999051051,-9.240167141,5.000948849
-9.707213822,0.001016397,-5.97774E-06,-9.707937528,-4.99898355,-9.706490116,5.001016345
-10.17371665,0.001085212,-5.56766E-06,-10.17445421,-4.998914734,-10.17297909,5.001085157
-10.64038346,0.001155259,-5.42149E-06,-10.64113396,-4.998844685,-10.63963295,5.001155202
-11.10721365,0.001226505,-5.28685E-06,-11.10797674,-4.998773436,-11.10645056,5.001226447
-11.57420633,0.001298924,-5.15218E-06,-11.5749817,-4.998701016,-11.57343096,5.001298864
-12.04136089,0.001372487,-5.01745E-06,-12.04214824,-4.998627451,-12.04057354,5.001372425
-12.50867727,0.001447166,-4.88268E-06,-12.50947629,-4.99855277,-12.50787824,5.001447103
-12.97615582,0.001522963,-4.74786E-06,-12.97696652,-4.998476971,-12.97534513,5.001522897
-13.44379714,0.001599828,-4.613E-06,-13.44461898,-4.998400104,-13.4429753,5.001599761
-13.91160185,0.001677725,-4.47809E-06,-13.91243443,-4.998322206,-13.91076928,5.001677655
-14.37957062,0.001756624,-4.34313E-06,-14.38041362,-4.998243305,-14.37872763,5.001756553
-14.84770409,0.001836498,-4.2024E-06,-14.8485572,-4.99816343,-14.84685098,5.001836425
-15.31600292,0.001917316,-3.97342E-06,-15.31686581,-4.99808261,-15.31514002,5.001917241
-15.78446775,0.001999032,-3.69625E-06,-15.78533992,-4.998000892,-15.78359559,5.001998956
-16.25309898,0.002081586,-3.41897E-06,-16.25397978,-4.997918336,-16.25221818,5.002081508
-16.72189672,0.002164942,-3.14161E-06,-16.72278576,-4.997834979,-16.72100768,5.002164863
-17.19086121,0.002249016,-2.86414E-06,-17.19175759,-4.997750904,-17.18996483,5.002248936
-17.65999301,0.002333746,-2.58657E-06,-17.66089606,-4.997666172,-17.65908995,5.002333665
-18.12929288,0.002419073,-2.3089E-06,-18.13020197,-4.997580844,-18.12838379,5.002418991
-18.59876171,0.002504938,-2.03114E-06,-18.59967619,-4.997494979,-18.59784722,5.002504854
-19.06840032,0.00259128,-1.75327E-06,-19.06931956,-4.997408636,-19.06748109,5.002591195
-19.53820951,0.002678039,-1.4753E-06,-19.53913286,-4.997321875,-19.53728616,5.002677954
-20.00818994,0.002765157,-1.20548E-06,-20.00911676,-4.997234757,-20.00726312,5.002765071
-20.47834214,0.002852579,-9.89847E-07,-20.47927186,-4.997147334,-20.47741241,5.002852493
-20.94866626,0.002940253,-7.78814E-07,-20.94959831,-4.99705966,-20.9477342,5.002940166
-21.41916206,0.00302813,-5.67704E-07,-21.42009593,-4.996971783,-21.41822819,5.003028042
-21.88982935,0.003116163,-3.56517E-07,-21.89076454,-4.99688375,-21.88889415,5.003116075
-22.36066814,0.003204306,-1.45254E-07,-22.36160417,-4.996795606,-22.35973212,5.003204219
-22.8316787,0.003292515,6.6087E-08,-22.83261507,-4.996707398,-22.83074233,5.003292427
-23.30286138,0.003380741,2.77505E-07,-23.3037976,-4.996619171,-23.30192516,5.003380653
-23.77421655,0.003468939,0.000000489,-23.77515213,-4.996530973,-23.77328097,5.003468852
-24.24574455,0.003557062,7.00573E-07,-24.24667899,-4.996442851,-24.24481012,5.003556974
-24.71744568,0.003645057,9.12226E-07,-24.71837842,-4.996354856,-24.71651293,5.00364497
-25.18932017,0.003732881,1.14973E-06,-25.19025075,-4.996267032,-25.18838958,5.003732794
-25.66136817,0.003820481,1.41642E-06,-25.66229604,-4.996179433,-25.66044031,5.003820394
-26.1335894,0.003907797,1.68413E-06,-26.13451393,-4.996092117,-26.13266487,5.003907712
