X,Y,Path_curvature,Xin,Yin,Xout,Yout
0,0,0.000158623,5.038759905,1.234517569,-3.687931604,-3.648601855
0.675414151,-1.207042143,-0.000300057,-3.794245404,-3.458606966,4.932446105,1.424512459
0.569100351,-1.017047253,-0.000227858,-3.900559807,-3.268610998,4.826131702,1.614508426
0.462785948,-0.827051286,-0.000155659,-4.006867355,-3.078627281,4.719824153,1.804492144
0.356478399,-0.637067569,-8.34649E-05,-4.113164209,-2.888662676,4.6135273,1.994456748
0.250181545,-0.447102964,-1.12777E-05,-4.219450986,-2.69871608,4.507240523,2.184403345
0.143894768,-0.257156367,6.09027E-05,-4.325731079,-2.508781429,4.40096043,2.374337995
0.037614676,-0.067221717,0.000133079,-1.299469051,-4.896584718,0.723495921,4.8966585
-0.287986565,3.68909E-05,0.000182725,-0.734050518,-4.999939884,-0.733529703,5.000060102
-0.733790111,6.01091E-05,0.000465584,-1.178910317,-5.000012893,-1.180548856,4.999986973
-1.179729586,-1.29599E-05,0.000642654,-1.623681173,-5.000205522,-1.628008076,4.999793542
-1.625844625,-0.00020599,0.000393478,-2.069129832,-5.000475153,-2.07518119,4.999523016
-2.072155511,-0.000476068,7.9276E-05,-2.515437596,-5.000763443,-2.521896939,4.999234471
-2.518667268,-0.000764486,-9.3528E-05,-2.962308146,-5.001037517,-2.968441272,4.998960603
-2.965374709,-0.001038457,1.16034E-05,-3.409169734,-5.001314497,-3.415368069,4.998683583
-3.412268901,-0.001315457,9.33087E-05,-3.856050169,-5.001608721,-3.862634047,4.998389112
-3.859342108,-0.001609805,7.89446E-05,-4.303123764,-5.001918662,-4.310056352,4.998078935
-4.306590058,-0.001919863,5.27528E-05,-4.750423929,-5.002239607,-4.757599058,4.997757819
-4.754011493,-0.002240894,5.15207E-05,-5.197898434,-5.002571489,-5.205315182,4.997425761
-5.201606808,-0.002572864,5.79672E-05,-5.645540022,-5.002914967,-5.653213041,4.997082089
-5.649376531,-0.002916439,5.88702E-05,-6.093354638,-5.003270187,-6.101286896,4.996726667
-6.097320767,-0.00327176,5.63785E-05,-6.541348023,-5.003636733,-6.54952993,4.99635992
-6.545438977,-0.003638406,5.52298E-05,-6.989515978,-5.004014482,-6.997944686,4.995981966
-6.993730332,-0.004016258,5.61525E-05,-7.437848145,-5.004404145,-7.446539483,4.995592078
-7.442193814,-0.004406033,5.65787E-05,-7.886358052,-5.004805171,-7.895299325,4.995190831
-7.890828688,-0.00480717,5.5495E-05,-8.335040713,-5.005217377,-8.344227689,4.994778403
-8.339634201,-0.005219487,5.42377E-05,-8.783895908,-5.005640531,-8.793323286,4.994355025
-8.788609597,-0.005642753,5.28685E-05,-9.232921637,-5.006074541,-9.242587198,4.993920788
-9.237754418,-0.006076877,5.15105E-05,-9.682115306,-5.006519506,-9.692021119,4.993475588
-9.687068212,-0.006521959,5.21125E-05,-10.1314823,-5.006975044,-10.14161961,4.993019817
-10.13655095,-0.006977613,5.35138E-05,-10.58101547,-5.007441412,-10.59138993,4.992553206
-10.5862027,-0.007444103,5.34171E-05,-11.03071787,-5.00791861,-11.04132923,4.99207576
-11.03602355,-0.007921425,5.17683E-05,-11.48059092,-5.008406529,-11.4914366,4.991587589
-11.48601376,-0.00840947,5.0549E-05,-11.93063289,-5.008905214,-11.94171371,4.991088647
-11.9361733,-0.008908284,5.03691E-05,-12.38084994,-5.009414177,-12.39215473,4.990579433
-12.38650234,-0.009417372,5.01566E-05,-12.83123694,-5.009933379,-12.84276482,4.990059976
-12.83700088,-0.009936701,4.96844E-05,-13.28179452,-5.010462746,-13.29354363,4.989530352
-13.28766908,-0.010466197,4.91693E-05,-13.73252176,-5.011002328,-13.74449309,4.988990507
-13.73850743,-0.011005911,4.86934E-05,-14.18341707,-5.011552351,-14.1956155,4.988440209
-14.18951628,-0.011556071,4.82297E-05,-14.63448978,-5.012112285,-14.64690313,4.987880011
-14.64069645,-0.012116137,4.77774E-05,-15.08573543,-5.012682048,-15.09836185,4.987309981
-15.09204864,-0.012686034,4.73323E-05,-15.5371547,-5.013261566,-15.54999237,4.986730193
-15.54357354,-0.013265687,4.68861E-05,-15.98874781,-5.01385082,-16.0017961,4.986140667
-15.99527195,-0.013855076,4.64384E-05,-16.44051086,-5.014450169,-16.45377772,4.98554103
-16.44714429,-0.014454569,4.57409E-05,-16.8924559,-5.01505898,-16.90592676,4.984931947
-16.89919133,-0.015063517,4.43858E-05,-17.34457895,-5.015677,-17.3582482,4.984313658
-17.35141358,-0.015681671,4.34159E-05,-17.79687928,-5.016304077,-17.81074342,4.983686312
-17.80381135,-0.016308882,4.46304E-05,-18.24935323,-5.016940421,-18.26341684,4.98304969
-18.25638504,-0.016945365,4.62027E-05,-18.70199554,-5.017586776,-18.7162751,4.982403029
-18.70913532,-0.017591874,4.45961E-05,-19.15482223,-5.018242491,-19.16930267,4.981747025
-19.16206245,-0.018247733,4.19901E-05,-19.6078326,-5.018907016,-19.62250165,4.981082225
-19.61516713,-0.018912395,4.1312E-05,-20.06102245,-5.019580216,-20.07587711,4.980408751
-20.06844978,-0.019585732,4.21024E-05,-20.51438907,-5.020262234,-20.52943244,4.979726451
-20.52191075,-0.020267891,4.24023E-05,-20.96793088,-5.020953394,-20.98317001,4.979034994
-20.97555045,-0.0209592,4.18654E-05,-21.42165251,-5.021653583,-21.43708459,4.97833451
-21.42936855,-0.021659537,4.11177E-05,-21.87555683,-5.022362424,-21.89117333,4.977625382
-21.88336508,-0.022368521,3.98101E-05,-22.32964223,-5.023079672,-22.34543763,4.976907853
-22.33753993,-0.023085909,3.86949E-05,-22.78390821,-5.023805132,-22.7998781,4.976182116
-22.79189315,-0.023811508,3.89382E-05,-23.23835223,-5.024538868,-23.254498,4.975448098
-23.24642512,-0.024545385,3.94539E-05,-23.69296973,-5.025281352,-23.70930174,4.974705311
-23.70113574,-0.02528802,3.90481E-05,-24.14777157,-5.026032127,-24.16427927,4.973954248
-24.15602542,-0.02603894,3.8346E-05,-24.60275412,-5.026791061,-24.61943458,4.973195027
-24.61109435,-0.026798017,3.77865E-05,-25.05791723,-5.02755805,-25.07476806,4.972427752
-25.06634264,-0.027565149,3.73375E-05,-25.51326074,-5.028333014,-25.53028002,4.971652503
-25.52177038,-0.028340255,3.69725E-05,-25.96878241,-5.029116092,-25.98597317,4.970869131
