X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.831598448,0.000196878,-8.344E-09,2.831250804,5.000196866,2.831946092,-4.99980311
-2.376410079,-0.000166736,4.0848E-08,-2.376060989,-5.000166723,-2.37675917,4.999833252
-1.921218983,-0.000134798,4.0848E-08,-1.921569797,4.99986519,-1.920868169,-5.000134786
-1.466056133,-0.000102863,4.0848E-08,-1.466406947,4.999897125,-1.465705319,-5.00010285
-1.010937441,-7.09302E-05,4.0848E-08,-1.011288255,4.999929057,-1.010586627,-5.000070918
-0.555860397,-3.90007E-05,4.0848E-08,-0.556211211,4.999960987,-0.555509582,-5.000038988
-0.10081389,-7.07339E-06,4.0848E-08,-0.101164704,4.999992914,-0.100463076,-5.000007061
-0.354212082,-2.48536E-05,5.7876E-08,-0.353861246,-5.000024841,-0.354562917,4.999975134
-0.809227298,-5.67915E-05,1.32222E-07,-0.808876343,-5.000056779,-0.809578253,4.999943196
-1.264277552,-8.87585E-05,2.06574E-07,-1.263926305,-5.000088746,-1.264628799,4.999911229
-1.719446483,-0.000120778,2.80946E-07,-1.719094755,-5.000120765,-1.719798211,4.99987921
-2.174798854,-0.000152869,3.55348E-07,-2.174446477,-5.000152856,-2.175151231,4.999847119
-2.630362392,-0.000185048,4.29784E-07,-2.63000921,-5.000185036,-2.630715574,4.999814939
-3.086137482,-0.000217331,5.04254E-07,-3.085783329,-5.000217318,-3.086491634,4.999782657
-3.542110942,-0.000249731,5.78757E-07,-3.541755654,-5.000249719,-3.54246623,4.999750256
-3.998267939,-0.000282264,6.5329E-07,-3.997911346,-5.000282251,-3.998624531,4.999717724
-4.454598864,-0.00031495,7.27852E-07,-4.454240719,-5.000314937,-4.454957008,4.999685037
-4.911100261,-0.0003478,8.01108E-07,-4.910740464,-5.000347787,-4.911460057,4.999652187
-5.367772483,-0.000380827,8.58802E-07,-5.367410875,-5.000380814,-5.368134092,4.99961916
-5.824616948,-0.000414044,9.1077E-07,-5.824253396,-5.000414031,-5.824980499,4.999585942
-6.281634263,-0.000447462,9.62758E-07,-6.281268652,-5.000447449,-6.281999874,4.999552524
-6.738823799,-0.000481095,1.01477E-06,-6.73845598,-5.000481081,-6.739191617,4.999518892
-7.196184419,-0.000514959,1.06679E-06,-7.195814212,-5.000514945,-7.196554626,4.999485028
-7.653715068,-0.000549056,1.11884E-06,-7.653342439,-5.000549043,-7.654087698,4.99945093
-8.111414969,-0.000583399,1.1709E-06,-8.1110398,-5.000583385,-8.111790138,4.999416586
-8.569283598,-0.000617998,1.22299E-06,-8.568905772,-5.000617984,-8.569661424,4.999381987
-9.027320604,-0.000652864,1.27509E-06,-9.026940004,-5.00065285,-9.027701204,4.999347121
-9.485525734,-0.000688012,1.32722E-06,-9.48514219,-5.000687998,-9.485909278,4.999311973
-9.943898809,-0.000723459,1.37868E-06,-9.943512149,-5.000723444,-9.944285469,4.999276526
-10.4024397,-0.000759207,1.42304E-06,-10.4020499,-5.000759192,-10.40282949,4.999240778
-10.86114829,-0.000795264,1.46556E-06,-10.86075525,-5.000795249,-10.86154132,4.99920472
-11.32002412,-0.000831641,1.50809E-06,-11.31962775,-5.000831625,-11.32042049,4.999168343
-11.77906633,-0.000868346,1.55064E-06,-11.77866653,-5.00086833,-11.77946613,4.999131638
-12.23827433,-0.000905393,1.59321E-06,-12.23787095,-5.000905377,-12.23867771,4.999094591
-12.69764811,-0.000942798,1.63579E-06,-12.69724097,-5.000942782,-12.69805524,4.999057185
-13.15718809,-0.00098056,1.67838E-06,-13.15677722,-5.000980543,-13.15759896,4.999019423
-13.61689494,-0.001018688,1.72099E-06,-13.61648025,-5.001018671,-13.61730964,4.998981295
-14.07676939,-0.00105719,1.76362E-06,-14.07635077,-5.001057173,-14.07718801,4.998942792
-14.53681214,-0.001096077,1.80626E-06,-14.5363895,-5.001096059,-14.53723478,4.998903905
-14.99702389,-0.001135359,1.84959E-06,-14.99659711,-5.001135341,-14.99745067,4.998864623
-15.45740533,-0.001175061,1.89912E-06,-15.45697414,-5.001175043,-15.45783653,4.99882492
-15.91795713,-0.001215179,1.94939E-06,-15.91752159,-5.00121516,-15.91839266,4.998784802
-16.37867965,-0.001255722,1.99967E-06,-16.37823965,-5.001255702,-16.37911964,4.998744259
-16.83957299,-0.001296702,2.04998E-06,-16.83912842,-5.001296682,-16.84001755,4.998703279
-17.30063736,-0.001338129,2.1003E-06,-17.3001881,-5.001338109,-17.30108662,4.998661851
-17.76187329,-0.001380015,2.15064E-06,-17.76141923,-5.001379994,-17.76232736,4.998619964
-18.22328154,-0.001422385,2.201E-06,-18.22282239,-5.001422364,-18.22374068,4.998577593
-18.68486293,-0.001465244,2.25138E-06,-18.68439867,-5.001465223,-18.68532719,4.998534734
-19.14661828,-0.001508596,2.30178E-06,-19.14614886,-5.001508574,-19.14708771,4.998491382
-19.60854832,-0.001552452,2.3522E-06,-19.60807362,-5.001552429,-19.60902302,4.998447525
-20.07065364,-0.001596823,2.4028E-06,-20.07017354,-5.0015968,-20.07113374,4.998403154
-20.5329347,-0.001641721,2.45396E-06,-20.53244909,-5.001641698,-20.53342031,4.998358255
-20.99539154,-0.00168716,2.50519E-06,-20.99490026,-5.001687136,-20.99588282,4.998312816
-21.45802383,-0.00173317,2.55644E-06,-21.45752657,-5.001733145,-21.45852108,4.998266806
-21.92083129,-0.001779741,2.60771E-06,-21.92032816,-5.001779715,-21.92133443,4.998220234
-22.38381395,-0.001826885,2.659E-06,-22.38330482,-5.001826859,-22.38432308,4.998173089
-22.84697206,-0.001874613,2.7103E-06,-22.84645681,-5.001874587,-22.84748731,4.99812536
-23.310306,-0.001922938,2.76163E-06,-23.30978452,-5.001922911,-23.31082749,4.998077035
